# Gene Family	SRS1007613.go	tiny-test-data-mt.go
GO:0015528: [MF] lactose:proton symporter activity|unclassified	11.425	0
GO:0015556: [MF] C4-dicarboxylate transmembrane transporter activity	160.196	0
GO:0015556: [MF] C4-dicarboxylate transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	75.822	0
GO:0015556: [MF] C4-dicarboxylate transmembrane transporter activity|unclassified	84.374	0
GO:0015558: [MF] secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	16.097	0
GO:0015558: [MF] secondary active p-aminobenzoyl-glutamate transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	16.097	0
GO:0015562: [MF] efflux transmembrane transporter activity	672.326	0
GO:0015562: [MF] efflux transmembrane transporter activity|g__Chromobacterium.s__Chromobacterium_violaceum	91.148	0
GO:0015562: [MF] efflux transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	270.228	0
GO:0015562: [MF] efflux transmembrane transporter activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	88.384	0
GO:0015562: [MF] efflux transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	6.308	0
GO:0015562: [MF] efflux transmembrane transporter activity|unclassified	216.258	0
GO:0015565: [MF] threonine efflux transmembrane transporter activity	117.534	0
GO:0015565: [MF] threonine efflux transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	101.935	0
GO:0015565: [MF] threonine efflux transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	15.599	0
GO:0015568: [MF] L-idonate transmembrane transporter activity	11.554	0
GO:0015568: [MF] L-idonate transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	11.554	0
GO:0015572: [MF] N-acetylglucosamine transmembrane transporter activity	7.587	0
GO:0015572: [MF] N-acetylglucosamine transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	7.587	0
GO:0015575: [MF] mannitol transmembrane transporter activity	14.297	0
GO:0015575: [MF] mannitol transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	14.297	0
GO:0015577: [MF] galactitol transmembrane transporter activity	111.476	0
GO:0015577: [MF] galactitol transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	17.718	0
GO:0015577: [MF] galactitol transmembrane transporter activity|unclassified	93.759	0
GO:0015592: [MF] methylgalactoside transmembrane transporter activity	18.558	0
GO:0015592: [MF] methylgalactoside transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	2.887	0
GO:0015592: [MF] methylgalactoside transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	15.672	0
GO:0015604: [MF] organic phosphonate transmembrane transporter activity	186.613	0
GO:0015604: [MF] organic phosphonate transmembrane transporter activity|g__Corynebacterium.s__Corynebacterium_glutamicum	25.736	0
GO:0015604: [MF] organic phosphonate transmembrane transporter activity|g__Roseobacter.s__Roseobacter_denitrificans	95.683	0
GO:0015604: [MF] organic phosphonate transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	48.344	0
GO:0015604: [MF] organic phosphonate transmembrane transporter activity|unclassified	16.85	0
GO:0015611: [MF] D-ribose-importing ATPase activity	21.695	0
GO:0015611: [MF] D-ribose-importing ATPase activity|g__Escherichia.s__Escherichia_coli	21.695	0
GO:0015612: [MF] L-arabinose-importing ATPase activity	62.344	0
GO:0015612: [MF] L-arabinose-importing ATPase activity|g__Escherichia.s__Escherichia_coli	14.806	0
GO:0015612: [MF] L-arabinose-importing ATPase activity|unclassified	47.537	0
GO:0015616: [MF] DNA translocase activity	5.643	0
GO:0015616: [MF] DNA translocase activity|unclassified	5.643	0
GO:0015620: [MF] ferric-enterobactin transmembrane transporter activity	138.299	0
GO:0015620: [MF] ferric-enterobactin transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	129.191	0
GO:0015620: [MF] ferric-enterobactin transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	9.109	0
GO:0015623: [MF] ATPase-coupled iron-chelate transporter activity	174.14	0
GO:0015623: [MF] ATPase-coupled iron-chelate transporter activity|g__Escherichia.s__Escherichia_coli	137.37	0
GO:0015623: [MF] ATPase-coupled iron-chelate transporter activity|g__Roseobacter.s__Roseobacter_denitrificans	36.77	0
GO:0015627: [CC] type II protein secretion system complex	584.303	0
GO:0015627: [CC] type II protein secretion system complex|g__Chromobacterium.s__Chromobacterium_violaceum	41.879	0
GO:0015627: [CC] type II protein secretion system complex|g__Escherichia.s__Escherichia_coli	172.593	0
GO:0015627: [CC] type II protein secretion system complex|g__Polaromonas.s__Polaromonas_naphthalenivorans	224.201	0
GO:0015627: [CC] type II protein secretion system complex|unclassified	145.63	0
GO:0015628: [BP] protein secretion by the type II secretion system	597.24	0
GO:0015628: [BP] protein secretion by the type II secretion system|g__Chromobacterium.s__Chromobacterium_violaceum	49.64	0
GO:0015628: [BP] protein secretion by the type II secretion system|g__Escherichia.s__Escherichia_coli	172.593	0
GO:0015628: [BP] protein secretion by the type II secretion system|g__Polaromonas.s__Polaromonas_naphthalenivorans	224.201	0
GO:0015628: [BP] protein secretion by the type II secretion system|unclassified	150.806	0
GO:0015633: [MF] ATPase-coupled zinc transmembrane transporter activity	40.523	0
GO:0015633: [MF] ATPase-coupled zinc transmembrane transporter activity|unclassified	40.523	0
GO:0015643: [MF] toxic substance binding	367.124	0
GO:0015643: [MF] toxic substance binding|g__Escherichia.s__Escherichia_coli	329.377	0
GO:0015643: [MF] toxic substance binding|unclassified	37.747	0
GO:0015648: [MF] lipid-linked peptidoglycan transporter activity	12.403	0
GO:0015648: [MF] lipid-linked peptidoglycan transporter activity|g__Escherichia.s__Escherichia_coli	6.423	0
GO:0015648: [MF] lipid-linked peptidoglycan transporter activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.979	0
GO:0015655: [MF] alanine:sodium symporter activity	161.906	0
GO:0015655: [MF] alanine:sodium symporter activity|g__Escherichia.s__Escherichia_coli	153.099	0
GO:0015655: [MF] alanine:sodium symporter activity|unclassified	8.807	0
GO:0015658: [MF] branched-chain amino acid transmembrane transporter activity	147.574	0
GO:0015658: [MF] branched-chain amino acid transmembrane transporter activity|g__Chromobacterium.s__Chromobacterium_violaceum	14.909	0
GO:0015658: [MF] branched-chain amino acid transmembrane transporter activity|g__Corynebacterium.s__Corynebacterium_glutamicum	30.34	0
GO:0015658: [MF] branched-chain amino acid transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	14.645	0
GO:0015658: [MF] branched-chain amino acid transmembrane transporter activity|unclassified	87.68	0
GO:0015661: [MF] L-lysine efflux transmembrane transporter activity	137.317	0
GO:0015661: [MF] L-lysine efflux transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	19.636	0
GO:0015661: [MF] L-lysine efflux transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	117.68	0
GO:0015671: [BP] oxygen transport	22.63	0
GO:0015671: [BP] oxygen transport|unclassified	22.63	0
GO:0015673: [BP] silver ion transport	33.522	0
GO:0015673: [BP] silver ion transport|g__Escherichia.s__Escherichia_coli	12.958	0
GO:0015673: [BP] silver ion transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.565	0
GO:0015675: [BP] nickel cation transport	43.928	0
GO:0015675: [BP] nickel cation transport|g__Escherichia.s__Escherichia_coli	43.928	0
GO:0015679: [BP] plasma membrane copper ion transport	42.216	0
GO:0015679: [BP] plasma membrane copper ion transport|g__Escherichia.s__Escherichia_coli	12.958	0
GO:0015679: [BP] plasma membrane copper ion transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.565	0
GO:0015679: [BP] plasma membrane copper ion transport|unclassified	8.694	0
GO:0015685: [BP] ferric-enterobactin import into cell	138.299	0
GO:0015685: [BP] ferric-enterobactin import into cell|g__Escherichia.s__Escherichia_coli	129.191	0
GO:0015685: [BP] ferric-enterobactin import into cell|g__Staphylococcus.s__Staphylococcus_epidermidis	9.109	0
GO:0015689: [BP] molybdate ion transport	164.34	0
GO:0015689: [BP] molybdate ion transport|g__Escherichia.s__Escherichia_coli	164.34	0
GO:0015709: [BP] thiosulfate transport	11.302	0
GO:0015709: [BP] thiosulfate transport|unclassified	11.302	0
GO:0015716: [BP] organic phosphonate transport	274.42	0
GO:0015716: [BP] organic phosphonate transport|g__Chromobacterium.s__Chromobacterium_violaceum	51.348	0
GO:0015716: [BP] organic phosphonate transport|g__Escherichia.s__Escherichia_coli	211.731	0
GO:0015716: [BP] organic phosphonate transport|unclassified	11.341	0
GO:0015724: [BP] formate transport	18.424	0
GO:0015724: [BP] formate transport|g__Escherichia.s__Escherichia_coli	18.424	0
GO:0015726: [BP] L-idonate transmembrane transport	11.554	0
GO:0015726: [BP] L-idonate transmembrane transport|g__Escherichia.s__Escherichia_coli	11.554	0
GO:0015734: [BP] taurine transport	73.682	0
GO:0015734: [BP] taurine transport|g__Chromobacterium.s__Chromobacterium_violaceum	20.998	0
GO:0015734: [BP] taurine transport|g__Escherichia.s__Escherichia_coli	52.684	0
GO:0015740: [BP] C4-dicarboxylate transport	3.94	0
GO:0015740: [BP] C4-dicarboxylate transport|unclassified	3.94	0
GO:0015744: [BP] succinate transport	10.339	0
GO:0015744: [BP] succinate transport|g__Escherichia.s__Escherichia_coli	10.339	0
GO:0015752: [BP] D-ribose transmembrane transport	21.695	0
GO:0015752: [BP] D-ribose transmembrane transport|g__Escherichia.s__Escherichia_coli	21.695	0
GO:0015753: [BP] D-xylose transmembrane transport	34.905	0
GO:0015753: [BP] D-xylose transmembrane transport|g__Escherichia.s__Escherichia_coli	34.905	0
GO:0015757: [BP] galactose transmembrane transport	18.558	0
GO:0015757: [BP] galactose transmembrane transport|g__Escherichia.s__Escherichia_coli	2.887	0
GO:0015757: [BP] galactose transmembrane transport|g__Staphylococcus.s__Staphylococcus_epidermidis	15.672	0
GO:0015765: [BP] methylgalactoside transport	18.558	0
GO:0015765: [BP] methylgalactoside transport|g__Escherichia.s__Escherichia_coli	2.887	0
GO:0015765: [BP] methylgalactoside transport|g__Staphylococcus.s__Staphylococcus_epidermidis	15.672	0
GO:0015794: [BP] glycerol-3-phosphate transmembrane transport	7.29	0
GO:0015794: [BP] glycerol-3-phosphate transmembrane transport|unclassified	7.29	0
GO:0015797: [BP] mannitol transport	14.297	0
GO:0015797: [BP] mannitol transport|g__Escherichia.s__Escherichia_coli	14.297	0
GO:0015803: [BP] branched-chain amino acid transport	12.097	0
GO:0015803: [BP] branched-chain amino acid transport|unclassified	12.097	0
GO:0015809: [BP] arginine transport	92.741	0
GO:0015809: [BP] arginine transport|g__Escherichia.s__Escherichia_coli	92.741	0
GO:0015810: [BP] aspartate transmembrane transport	121.159	0
GO:0015810: [BP] aspartate transmembrane transport|g__Escherichia.s__Escherichia_coli	97.806	0
GO:0015810: [BP] aspartate transmembrane transport|unclassified	23.353	0
GO:0015811: [BP] L-cystine transport	7.509	0
GO:0015811: [BP] L-cystine transport|unclassified	7.509	0
GO:0015813: [BP] L-glutamate transmembrane transport	219.292	0
GO:0015813: [BP] L-glutamate transmembrane transport|g__Chromobacterium.s__Chromobacterium_violaceum	9.574	0
GO:0015813: [BP] L-glutamate transmembrane transport|g__Escherichia.s__Escherichia_coli	129.149	0
GO:0015813: [BP] L-glutamate transmembrane transport|unclassified	80.569	0
GO:0015814: [BP] p-aminobenzoyl-glutamate transport	16.097	0
GO:0015814: [BP] p-aminobenzoyl-glutamate transport|g__Escherichia.s__Escherichia_coli	16.097	0
GO:0015820: [BP] leucine transport	52.37	0
GO:0015820: [BP] leucine transport|g__Escherichia.s__Escherichia_coli	52.37	0
GO:0015821: [BP] methionine transport	151.454	0
GO:0015821: [BP] methionine transport|g__Escherichia.s__Escherichia_coli	52.37	0
GO:0015821: [BP] methionine transport|unclassified	99.084	0
GO:0015822: [BP] ornithine transport	38.526	0
GO:0015822: [BP] ornithine transport|g__Escherichia.s__Escherichia_coli	38.526	0
GO:0015823: [BP] phenylalanine transport	15.318	0
GO:0015823: [BP] phenylalanine transport|unclassified	15.318	0
GO:0015824: [BP] proline transport	20.149	0
GO:0015824: [BP] proline transport|unclassified	20.149	0
GO:0015827: [BP] tryptophan transport	3.221	0
GO:0015827: [BP] tryptophan transport|unclassified	3.221	0
GO:0015828: [BP] tyrosine transport	3.221	0
GO:0015828: [BP] tyrosine transport|unclassified	3.221	0
GO:0015833: [BP] peptide transport	636.507	0
GO:0015833: [BP] peptide transport|g__Chromobacterium.s__Chromobacterium_violaceum	49.109	0
GO:0015833: [BP] peptide transport|g__Corynebacterium.s__Corynebacterium_glutamicum	156.459	0
GO:0015833: [BP] peptide transport|g__Escherichia.s__Escherichia_coli	299.069	0
GO:0015833: [BP] peptide transport|g__Roseobacter.s__Roseobacter_denitrificans	9.113	0
GO:0015833: [BP] peptide transport|unclassified	122.757	0
GO:0015846: [BP] polyamine transport	164.248	0
GO:0015846: [BP] polyamine transport|g__Chromobacterium.s__Chromobacterium_violaceum	11.023	0
GO:0015846: [BP] polyamine transport|g__Escherichia.s__Escherichia_coli	45.201	0
GO:0015846: [BP] polyamine transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.396	0
GO:0015846: [BP] polyamine transport|g__Roseobacter.s__Roseobacter_denitrificans	68.813	0
GO:0015846: [BP] polyamine transport|unclassified	18.815	0
GO:0015847: [BP] putrescine transport	90.237	0
GO:0015847: [BP] putrescine transport|g__Escherichia.s__Escherichia_coli	48.345	0
GO:0015847: [BP] putrescine transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.692	0
GO:0015847: [BP] putrescine transport|unclassified	23.2	0
GO:0015853: [BP] adenine transport	36.093	0
GO:0015853: [BP] adenine transport|g__Escherichia.s__Escherichia_coli	36.093	0
GO:0015857: [BP] uracil transport	20.647	0
GO:0015857: [BP] uracil transport|g__Escherichia.s__Escherichia_coli	20.647	0
GO:0015871: [BP] choline transport	18.488	0
GO:0015871: [BP] choline transport|g__Escherichia.s__Escherichia_coli	18.488	0
GO:0015886: [BP] heme transport	26.188	0
GO:0015886: [BP] heme transport|unclassified	26.188	0
GO:0015887: [BP] pantothenate transmembrane transport	7.309	0
GO:0015887: [BP] pantothenate transmembrane transport|unclassified	7.309	0
GO:0015888: [BP] thiamine transport	57.07	0
GO:0015888: [BP] thiamine transport|g__Escherichia.s__Escherichia_coli	57.07	0
GO:0015891: [BP] siderophore transport	143.97	0
GO:0015891: [BP] siderophore transport|g__Escherichia.s__Escherichia_coli	24.63	0
GO:0015891: [BP] siderophore transport|unclassified	119.34	0
GO:0015914: [BP] phospholipid transport	132.132	0
GO:0015914: [BP] phospholipid transport|g__Chromobacterium.s__Chromobacterium_violaceum	13.821	0
GO:0015914: [BP] phospholipid transport|g__Escherichia.s__Escherichia_coli	99.264	0
GO:0015914: [BP] phospholipid transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.046	0
GO:0015920: [BP] lipopolysaccharide transport	90.385	0
GO:0015920: [BP] lipopolysaccharide transport|g__Escherichia.s__Escherichia_coli	90.385	0
GO:0015926: [MF] glucosidase activity	51.077	0
GO:0015926: [MF] glucosidase activity|g__Escherichia.s__Escherichia_coli	51.077	0
GO:0015930: [MF] glutamate synthase activity	21.173	0
GO:0015930: [MF] glutamate synthase activity|unclassified	21.173	0
GO:0015934: [CC] large ribosomal subunit	2197.361	0
GO:0015934: [CC] large ribosomal subunit|g__Chromobacterium.s__Chromobacterium_violaceum	331.715	0
GO:0015934: [CC] large ribosomal subunit|g__Corynebacterium.s__Corynebacterium_glutamicum	281.9	0
GO:0015934: [CC] large ribosomal subunit|g__Escherichia.s__Escherichia_coli	289.066	0
GO:0015934: [CC] large ribosomal subunit|g__Polaromonas.s__Polaromonas_naphthalenivorans	824.236	0
GO:0015934: [CC] large ribosomal subunit|g__Roseobacter.s__Roseobacter_denitrificans	81.451	0
GO:0015934: [CC] large ribosomal subunit|g__Staphylococcus.s__Staphylococcus_epidermidis	297.759	0
GO:0015934: [CC] large ribosomal subunit|unclassified	91.235	0
GO:0015935: [CC] small ribosomal subunit	279.968	0
GO:0015935: [CC] small ribosomal subunit|g__Escherichia.s__Escherichia_coli	108.888	0
GO:0015935: [CC] small ribosomal subunit|g__Staphylococcus.s__Staphylococcus_epidermidis	97.443	0
GO:0015935: [CC] small ribosomal subunit|unclassified	73.637	0
GO:0015937: [BP] coenzyme A biosynthetic process	227.712	0
GO:0015937: [BP] coenzyme A biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	22.206	0
GO:0015937: [BP] coenzyme A biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	45.35	0
GO:0015937: [BP] coenzyme A biosynthetic process|g__Escherichia.s__Escherichia_coli	103.749	0
GO:0015937: [BP] coenzyme A biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.551	0
GO:0015937: [BP] coenzyme A biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	27.855	0
GO:0015940: [BP] pantothenate biosynthetic process	369.257	0
GO:0015940: [BP] pantothenate biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	21.479	0
GO:0015940: [BP] pantothenate biosynthetic process|g__Escherichia.s__Escherichia_coli	314.407	0
GO:0015940: [BP] pantothenate biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	8.207	0
GO:0015940: [BP] pantothenate biosynthetic process|unclassified	25.164	0
GO:0015941: [BP] pantothenate catabolic process	77.767	0
GO:0015941: [BP] pantothenate catabolic process|g__Corynebacterium.s__Corynebacterium_glutamicum	45.35	0
GO:0015941: [BP] pantothenate catabolic process|g__Escherichia.s__Escherichia_coli	32.416	0
GO:0015942: [BP] formate metabolic process	36.931	0
GO:0015942: [BP] formate metabolic process|g__Roseobacter.s__Roseobacter_denitrificans	36.931	0
GO:0015944: [BP] formate oxidation	178.03	0
GO:0015944: [BP] formate oxidation|g__Escherichia.s__Escherichia_coli	156.694	0
GO:0015944: [BP] formate oxidation|unclassified	21.336	0
GO:0015945: [BP] methanol metabolic process	20.645	0
GO:0015945: [BP] methanol metabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	8.505	0
GO:0015945: [BP] methanol metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.14	0
GO:0015948: [BP] methanogenesis	7.172	0
GO:0015948: [BP] methanogenesis|unclassified	7.172	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process	150.37	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	10.796	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process|g__Corynebacterium.s__Corynebacterium_glutamicum	34.88	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process|g__Escherichia.s__Escherichia_coli	53.076	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.992	0
GO:0015969: [BP] guanosine tetraphosphate metabolic process|unclassified	39.626	0
GO:0015970: [BP] guanosine tetraphosphate biosynthetic process	6.635	0
GO:0015970: [BP] guanosine tetraphosphate biosynthetic process|unclassified	6.635	0
GO:0015976: [BP] carbon utilization	110.437	0
GO:0015976: [BP] carbon utilization|g__Escherichia.s__Escherichia_coli	91.21	0
GO:0015976: [BP] carbon utilization|unclassified	19.226	0
GO:0015977: [BP] carbon fixation	62.977	0
GO:0015977: [BP] carbon fixation|g__Escherichia.s__Escherichia_coli	12.336	0
GO:0015977: [BP] carbon fixation|unclassified	50.641	0
GO:0015979: [BP] photosynthesis	138.972	0
GO:0015979: [BP] photosynthesis|g__Roseobacter.s__Roseobacter_denitrificans	127.054	0
GO:0015979: [BP] photosynthesis|unclassified	11.918	0
GO:0015986: [BP] ATP synthesis coupled proton transport	1117.172	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Chromobacterium.s__Chromobacterium_violaceum	329.361	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Corynebacterium.s__Corynebacterium_glutamicum	30.446	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Escherichia.s__Escherichia_coli	176.666	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Polaromonas.s__Polaromonas_naphthalenivorans	200.197	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Roseobacter.s__Roseobacter_denitrificans	96.307	0
GO:0015986: [BP] ATP synthesis coupled proton transport|g__Staphylococcus.s__Staphylococcus_epidermidis	229.748	0
GO:0015986: [BP] ATP synthesis coupled proton transport|unclassified	54.445	0
GO:0015990: [BP] electron transport coupled proton transport	509.518	0
GO:0015990: [BP] electron transport coupled proton transport|g__Escherichia.s__Escherichia_coli	480.968	0
GO:0015990: [BP] electron transport coupled proton transport|unclassified	28.55	0
GO:0015991: NO_NAME	34.315	0
GO:0015991: NO_NAME|g__Escherichia.s__Escherichia_coli	34.315	0
GO:0015995: [BP] chlorophyll biosynthetic process	11.918	0
GO:0015995: [BP] chlorophyll biosynthetic process|unclassified	11.918	0
GO:0015996: [BP] chlorophyll catabolic process	9.026	0
GO:0015996: [BP] chlorophyll catabolic process|unclassified	9.026	0
GO:0016020: [CC] membrane	10643.543	0
GO:0016020: [CC] membrane|g__Chromobacterium.s__Chromobacterium_violaceum	290.361	0
GO:0016020: [CC] membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	14.501	0
GO:0016020: [CC] membrane|g__Escherichia.s__Escherichia_coli	6176.809	0
GO:0016020: [CC] membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	249.596	0
GO:0016020: [CC] membrane|g__Roseobacter.s__Roseobacter_denitrificans	210.107	0
GO:0016020: [CC] membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	103.287	0
GO:0016020: [CC] membrane|unclassified	3598.883	0
GO:0016021: [CC] integral component of membrane	79292.063	0
GO:0016021: [CC] integral component of membrane|g__Chromobacterium.s__Chromobacterium_violaceum	7261.771	0
GO:0016021: [CC] integral component of membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	8210.644	0
GO:0016021: [CC] integral component of membrane|g__Escherichia.s__Escherichia_coli	31519.443	0
GO:0016021: [CC] integral component of membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	6705.702	0
GO:0016021: [CC] integral component of membrane|g__Roseobacter.s__Roseobacter_denitrificans	3937.859	0
GO:0016021: [CC] integral component of membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	6465.219	0
GO:0016021: [CC] integral component of membrane|unclassified	15191.424	0
GO:0016024: [BP] CDP-diacylglycerol biosynthetic process	136.927	0
GO:0016024: [BP] CDP-diacylglycerol biosynthetic process|g__Escherichia.s__Escherichia_coli	50.59	0
GO:0016024: [BP] CDP-diacylglycerol biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.108	0
GO:0016024: [BP] CDP-diacylglycerol biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	33.464	0
GO:0016024: [BP] CDP-diacylglycerol biosynthetic process|unclassified	31.766	0
GO:0016036: [BP] cellular response to phosphate starvation	63.832	0
GO:0016036: [BP] cellular response to phosphate starvation|g__Corynebacterium.s__Corynebacterium_glutamicum	11.682	0
GO:0016036: [BP] cellular response to phosphate starvation|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.234	0
GO:0016036: [BP] cellular response to phosphate starvation|unclassified	47.916	0
GO:0016042: [BP] lipid catabolic process	97.453	0
GO:0016042: [BP] lipid catabolic process|g__Escherichia.s__Escherichia_coli	35.941	0
GO:0016042: [BP] lipid catabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	15.402	0
GO:0016042: [BP] lipid catabolic process|unclassified	46.11	0
GO:0016051: [BP] carbohydrate biosynthetic process	134.933	0
GO:0016051: [BP] carbohydrate biosynthetic process|g__Escherichia.s__Escherichia_coli	39.595	0
GO:0016051: [BP] carbohydrate biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	67.788	0
GO:0016051: [BP] carbohydrate biosynthetic process|unclassified	27.55	0
GO:0016052: [BP] carbohydrate catabolic process	67.736	0
GO:0016052: [BP] carbohydrate catabolic process|g__Escherichia.s__Escherichia_coli	51.077	0
GO:0016052: [BP] carbohydrate catabolic process|unclassified	16.659	0
GO:0016075: [BP] rRNA catabolic process	78.858	0
GO:0016075: [BP] rRNA catabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	38.585	0
GO:0016075: [BP] rRNA catabolic process|g__Roseobacter.s__Roseobacter_denitrificans	29.355	0
GO:0016075: [BP] rRNA catabolic process|unclassified	10.918	0
GO:0016094: [BP] polyprenol biosynthetic process	67.459	0
GO:0016094: [BP] polyprenol biosynthetic process|g__Escherichia.s__Escherichia_coli	67.459	0
GO:0016114: [BP] terpenoid biosynthetic process	673.166	0
GO:0016114: [BP] terpenoid biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	33.215	0
GO:0016114: [BP] terpenoid biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	56.883	0
GO:0016114: [BP] terpenoid biosynthetic process|g__Escherichia.s__Escherichia_coli	259.545	0
GO:0016114: [BP] terpenoid biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	31.946	0
GO:0016114: [BP] terpenoid biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	23.174	0
GO:0016114: [BP] terpenoid biosynthetic process|unclassified	268.403	0
GO:0016117: [BP] carotenoid biosynthetic process	28.932	0
GO:0016117: [BP] carotenoid biosynthetic process|unclassified	28.932	0
GO:0016120: [BP] carotene biosynthetic process	5.98	0
GO:0016120: [BP] carotene biosynthetic process|unclassified	5.98	0
GO:0016149: [MF] translation release factor activity, codon specific	155.908	0
GO:0016149: [MF] translation release factor activity, codon specific|g__Corynebacterium.s__Corynebacterium_glutamicum	14.813	0
GO:0016149: [MF] translation release factor activity, codon specific|g__Escherichia.s__Escherichia_coli	52.952	0
GO:0016149: [MF] translation release factor activity, codon specific|g__Polaromonas.s__Polaromonas_naphthalenivorans	26.662	0
GO:0016149: [MF] translation release factor activity, codon specific|g__Roseobacter.s__Roseobacter_denitrificans	14.187	0
GO:0016149: [MF] translation release factor activity, codon specific|unclassified	47.294	0
GO:0016151: [MF] nickel cation binding	700.796	0
GO:0016151: [MF] nickel cation binding|g__Corynebacterium.s__Corynebacterium_glutamicum	101.828	0
GO:0016151: [MF] nickel cation binding|g__Escherichia.s__Escherichia_coli	131.27	0
GO:0016151: [MF] nickel cation binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	96.434	0
GO:0016151: [MF] nickel cation binding|g__Roseobacter.s__Roseobacter_denitrificans	123.182	0
GO:0016151: [MF] nickel cation binding|g__Staphylococcus.s__Staphylococcus_epidermidis	6.828	0
GO:0016151: [MF] nickel cation binding|unclassified	241.253	0
GO:0016152: [MF] mercury (II) reductase activity	34.258	0
GO:0016152: [MF] mercury (II) reductase activity|g__Staphylococcus.s__Staphylococcus_epidermidis	18.83	0
GO:0016152: [MF] mercury (II) reductase activity|unclassified	15.429	0
GO:0016153: [MF] urocanate hydratase activity	46.71	0
GO:0016153: [MF] urocanate hydratase activity|unclassified	46.71	0
GO:0016154: [MF] pyrimidine-nucleoside phosphorylase activity	852.945	0
GO:0016154: [MF] pyrimidine-nucleoside phosphorylase activity|g__Chromobacterium.s__Chromobacterium_violaceum	3.414	0
GO:0016154: [MF] pyrimidine-nucleoside phosphorylase activity|g__Escherichia.s__Escherichia_coli	849.531	0
GO:0016158: [MF] 3-phytase activity	9.073	0
GO:0016158: [MF] 3-phytase activity|g__Escherichia.s__Escherichia_coli	9.073	0
GO:0016163: [MF] nitrogenase activity	35.464	0
GO:0016163: [MF] nitrogenase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.464	0
GO:0016209: [MF] antioxidant activity	848.225	0
GO:0016209: [MF] antioxidant activity|g__Chromobacterium.s__Chromobacterium_violaceum	671.0	0
